Nom;Type;Reel
COCA EN BOUTEILLE;Boissons;
COCA EN CANETTE;Boissons;
COCA ZERO;Boissons;
SPRITE;Boissons;
FANTA ORANGE;Boissons;
VITALO;Boissons;
SODA;Boissons;
TONIC;Boissons;
REDBULL;Boissons;
XXL;Boissons;
EAU;Boissons;
THÉ;Boissons;
CAFÉ NESPRESSO;Boissons;
BEAUFORT GRAND;Boissons;
CASTEL;Boissons;
CORONA;Boissons;
DOPPEL;Boissons;
HEINEKEN;Boissons;
LEFFE BLONDE;Boissons;
LEFFE BRUNE;Boissons;
LEGEND;Boissons;
MUTZIG;Boissons;
NKOYI;Boissons;
PRIMUS;Boissons;
SKOL;Boissons;
TEMBO BOUTEILLE;Boissons;
TEMBO PRESSION;Boissons;
TURBO KING;Boissons;
BEAUFORT PETIT;Boissons;
SAVANA;Boissons;
BAVARIA;Boissons;
Heineken importée;Boissons;
Verre de Jus;Boissons;
Primus La Petite;Boissons;
Stella Artois Canette;Boissons;
Pierre Gobillard Champagne;Boissons;
Vitalo Bouteille Grand;Boissons;
Mesure de Kahlua;Boissons;
Vital’O Moyen 500ml;Boissons;
Maltina;Boissons;
33 Export;Boissons;
Vin Rouge Durbanville Hills;Boissons;
Cocktail sans Alcool;Boissons;
Legend Grand;Boissons;
Prest Moelleux;Boissons;
Tembo la Petite;Boissons;
Bouteille Glenfiddich 15ans;Boissons;3
Energie Malt;Boissons;
Cocktail avec Alcool;Boissons;
Stella Artois Bouteilles;Boissons;
Duvel;Boissons;
Courvoisier Bouteille 1L;Boissons;
Vin Rouge La Fiole du Pape;Boissons;
Heineken Zéro;Boissons;
Ruinart Blanc de Blancs;Boissons;
Ruinart Brut;Boissons;1
Baron Blanc de Blancs;Boissons;1
MALTA;Boissons;
Johnny Walker Gold 1 litre;Boissons;
Pierre Grandet;Boissons;
Champagne Veuve Clicquot Rosé;Boissons;
Bouteille Disaronno;Boissons;2
Mesure Grundheim;Boissons;12
Vin Baron d'arignac Sec;Boissons;
Mesure de Gin Roku;Boissons;
Bouteille de Gin Roku;Boissons;
Mesure de Cinzano Bianco;Boissons;
Mesures Grand Marnier;Boissons;11
Cocktail avec Gingembre;Boissons;
Bouteille Signore Prosecco;Boissons;
Champagne Mercier Brut;Boissons;
Bouteille Jack Daniels Single barrel;Boissons;
Bouteille Château Benauge;Boissons;
Mesure Triple Sec;Boissons;
Bouteille Vin Blanc Louderne les Folies;Boissons;
Mesure Stolichnaya;Boissons;
Mesure Martel;Boissons;
Bouteille Martel;Boissons;1
Bouteille de Gin Bombay 1L;Boissons;
Mesures Glenfiddich 15ans;Boissons;
Bouteille Vodka Magic Moments;Boissons;
Heineken grand 50cl;Boissons;
Westmalle;Boissons;
Soda Canette;Boissons;
Cocktail XL Mood;Boissons;
Bouteille de Jägermeifter;Boissons;1
Bouteille de vin blanc Longchamp;Boissons;
Mesure Gentleman Jack;Boissons;
Bouteille Sir Edward 1L;Boissons;
Bouteille Jacques Daniel Honey 1L;Boissons;
Bouteille Sheridan's;Boissons;
Carton Jus;Boissons;
Vin Blanc  cabernet Bordeaux Moelleux;Boissons;
Glenfiddich 18 yrs;Boissons;2
Bouteille Double back 1L;Boissons;
Grant's 1L;Boissons;
Mesures Grant's;Boissons;
Cocktail long Island;Boissons;
THÉ au Gingembre;Boissons;
Mesures de Tequila Anejo Patron;Boissons;
Baron D'arignac rouge moelleux;Boissons;3
Gigot 1pc;Boissons;
Vin Rouge Celier D'Or sec;Boissons;
Baron D'arignac Rouge Sec;Boissons;2
Bouteille Sir Edward 2.5L;Boissons;
Guinness;Boissons;
Bouteille de Bouteille Vodka Absolut;Boissons;
Tequila  XO Café;Boissons;
Cassis;Boissons;
Jack Daniels Gentleman 70 cl;Boissons;1
Verre Gingembre;Boissons;
Champagne Billecart-salmon réserve;Boissons;3
Baron d'arignac Rosé;Boissons;
Sir Edward Smoky;Boissons;2
Eau Gazeuse;Boissons;
Mateus;Boissons;2
Vin rouge Domaine de la Baume sauvignon;Boissons;
Vin Blanc Domaine de Baume;Boissons;1
Bouteille de Red Label 37.5cl;Boissons;9
Bouteille de Black Label 37.5cl;Boissons;8
RedBull Blue;Boissons;
Cocktail Gingembre avec JW Black Label;Boissons;
Beck's;Boissons;
Leffe blonde en Canette;Boissons;
Citron, Miel et Gingembre;Boissons;
Vin blanc carbenet sauvignon;Boissons;
Bonobo KwiluRhum;Boissons;
Bumbu Xo Rhum;Boissons;
Ruinart Petit Brut;Boissons;1
Jack Daniel’s Rye;Boissons;
Gin Mare Mesure;Boissons;
Tonic en canette;Boissons;
Mesure Jack Daniel RYE Single Barrel;Boissons;
Poisson  MPoka Gros braisé;Boissons;
Duvel Grand;Boissons;
Poisson Perche pour 3;Boissons;
4 Cousins Sweet White;Boissons;8
Beluga Vodka Mesure;Boissons;
Papillon Brut;Boissons;7
Kwak;Boissons;
Glenfiddish 12Y 35cl;Boissons;
Mesure Martell Blue Swift;Boissons;
Bouteille Martell XO;Boissons;
Bouteille Martell Blue Swift;Boissons;2
Martini sans Alcool;Boissons;2
Droit de Bouchon;Boissons;
Don Oscart;Boissons;6
